t,UABreal,UFD,IFD,UAB
2.77,100.07,112.17,1029.7,1.0007
2.775,100.08,112.29,1030.5,1.0008
2.78,100.07,112.05,1030,1.0007
2.785,100.08,112.18,1030.7,1.0008
2.79,100.08,112.02,1030.1,1.0008
2.795,100.09,112.17,1029.6,1.0009
2.8,100.09,112.37,1027.3,1.0009
2.805,100.1,112.38,1024.6,1.001
2.81,100.09,111.98,1027.7,1.0009
2.815,100.1,112.06,1025.6,1.001
2.82,100.09,111.89,1025.4,1.0009
2.825,100.1,112,1024.7,1.001
2.83,100.09,112.11,1023.8,1.0009
2.835,100.1,112.25,1024.7,1.001
2.84,100.09,112.26,1025.9,1.0009
2.845,100.1,112.49,1026.9,1.001
2.85,100.1,112.48,1025.8,1.001
2.855,100.11,112.65,1026.7,1.0011
2.86,100.1,112.55,1028.1,1.001
2.865,100.11,112.65,1030.6,1.0011
2.87,100.11,112.59,1029.5,1.0011
2.875,100.12,112.74,1030.2,1.0012
2.88,100.11,112.65,1029.9,1.0011
2.885,100.12,112.61,1027.6,1.0012
2.89,100.12,112.49,1027.5,1.0012
2.895,100.13,112.59,1027.2,1.0013
2.9,100.12,112.22,1025.1,1.0012
2.905,100.13,112.41,1024.3,1.0013
2.91,100.12,112.08,1026,1.0012
2.915,100.13,111.91,1024.7,1.0013
2.92,100.12,111.85,1024.7,1.0012
2.925,100.12,111.93,1025.1,1.0012
2.93,100.11,111.71,1023.5,1.0011
2.935,100.12,112,1023.7,1.0012
2.94,100.1,111.88,1026.3,1.001
2.945,100.11,112.04,1028.6,1.0011
2.95,100.1,111.91,1028.1,1.001
2.955,100.11,112.02,1029.3,1.0011
2.96,100.09,111.97,1028.8,1.0009
2.965,100.1,112.05,1028.5,1.001
2.97,100.1,111.82,1028.3,1.001
2.975,100.11,111.92,1027.6,1.0011
2.98,100.1,111.79,1025.9,1.001
2.985,100.1,111.93,1023.9,1.001
2.99,100.08,112.16,1026.1,1.0008
2.995,100.09,112.24,1024.3,1.0009
3,100.08,112.09,1023.7,1.0008
3.005,100.09,112.18,1022.8,1.0009
3.01,100.08,111.99,1022.7,1.0008
3.015,100.09,111.98,1024.1,1.0009
3.02,100.07,111.91,1024.8,1.0007
3.025,100.08,111.99,1027.2,1.0008
3.03,100.07,111.85,1026,1.0007
3.035,100.08,112.2,1026,1.0008
3.04,100.06,112.16,1027.5,1.0006
3.045,100.07,112.37,1028.5,1.0007
3.05,100.06,112.47,1027.7,1.0006
3.055,100.07,112.64,1028.6,1.0007
3.06,100.05,112.54,1027.6,1.0005
3.065,100.06,112.67,1026.9,1.0006
3.07,100.04,112.57,1027.3,1.0004
3.075,100.05,112.62,1026.4,1.0005
3.08,100.03,112.58,1025.6,1.0003
3.085,100.04,112.53,1023,1.0004
3.09,100.02,112.19,1025.9,1.0002
3.095,100.03,112.15,1024.9,1.0003
3.1,100.01,111.93,1024.3,1.0001
3.105,100.02,112.24,1024.4,1.0002
3.11,100.01,112.14,1021.6,1.0001
3.115,100.01,112.29,1022.8,1.0001
3.12,100,112.17,1024.1,1
3.125,100.01,112.29,1026.4,1.0001
3.13,100,112.18,1025.2,1
3.135,100.01,112.24,1025.7,1.0001
3.14,99.996,112.05,1026.4,0.99996
3.145,100,111.99,1025.6,1
3.15,99.989,111.74,1027.4,0.99989
3.155,99.998,111.85,1025.9,0.99998
3.16,99.976,111.62,1023.8,0.99976
3.165,99.986,111.75,1022.2,0.99986
3.17,99.966,111.57,1023.6,0.99966
3.175,99.976,111.68,1022.9,0.99976
3.18,99.959,111.45,1024,0.99959
3.185,99.969,111.59,1023.8,0.99969
3.19,99.953,111.47,1022.1,0.99953
3.195,99.963,111.63,1023.3,0.99963
3.2,99.95,111.68,1024.3,0.9995
3.205,99.96,111.79,1027.3,0.9996
3.21,99.947,111.69,1026.1,0.99947
3.215,99.958,111.8,1027,0.99958
3.22,99.945,111.62,1026.9,0.99945
3.225,99.955,111.72,1026.1,0.99955
3.23,99.942,111.76,1026.4,0.99942
3.235,99.953,111.98,1026,0.99953
3.24,99.944,112.18,1025.3,0.99944
3.245,99.955,112.39,1024.3,0.99955
3.25,99.943,112.35,1025.6,0.99943
3.255,99.953,112.45,1023.6,0.99953
