t,UAB,UFD(V),IFD(A)
0.04875,0.956,161.133,532.26
0.04883,0.956,161.133,532.26
0.04891,0.956,161.133,532.26
0.04898,0.956,161.133,532.26
0.04906,0.956,161.743,532.26
0.04914,0.956,161.743,532.26
0.04922,0.956,162.354,532.26
0.0493,0.956,162.354,532.26
0.04938,0.956,162.964,532.26
0.04945,0.956,162.964,532.26
0.04953,0.956,163.574,532.26
0.04961,0.956,163.574,532.26
0.04969,0.956,164.185,532.26
0.04977,0.956,164.185,532.26
0.04984,0.956,164.795,532.26
0.04992,0.956,164.795,532.26
0.05,0.956,164.795,533.481
0.05008,0.956,164.795,532.26
0.05016,0.956,165.405,532.26
0.05023,0.956,165.405,532.26
0.05031,0.956,165.405,532.26
0.05039,0.956,165.405,532.26
0.05047,0.956,165.405,532.26
0.05055,0.956,166.016,533.481
0.05063,0.956,165.405,532.26
0.0507,0.956,165.405,533.481
0.05078,0.956,165.405,532.26
0.05086,0.956,165.405,532.26
0.05094,0.956,164.795,532.26
0.05102,0.956,164.795,532.26
0.05109,0.956,164.185,533.481
0.05117,0.956,164.185,533.481
0.05125,0.956,163.574,532.26
0.05133,0.956,163.574,532.26
0.05141,0.956,162.964,533.481
0.05148,0.956,162.354,533.481
0.05156,0.955,161.743,532.26
0.05164,0.955,161.133,533.481
0.05172,0.955,161.133,532.26
0.0518,0.955,161.133,533.481
0.05188,0.955,160.523,532.26
0.05195,0.955,161.133,533.481
0.05203,0.955,161.133,532.26
0.05211,0.955,160.523,533.481
0.05219,0.955,161.133,532.26
0.05227,0.955,161.133,532.26
0.05234,0.955,161.133,532.26
0.05242,0.955,161.743,532.26
0.0525,0.955,161.743,533.481
0.05258,0.955,162.354,532.26
0.05266,0.955,162.354,533.481
0.05273,0.955,162.354,533.481
0.05281,0.955,162.964,533.481
0.05289,0.955,163.574,533.481
0.05297,0.955,163.574,533.481
0.05305,0.955,164.185,532.26
0.05313,0.955,164.185,532.26
0.0532,0.955,164.795,533.481
0.05328,0.955,164.795,532.26
0.05336,0.955,164.795,533.481
0.05344,0.955,164.795,533.481
0.05352,0.955,165.405,533.481
0.05359,0.955,165.405,532.26
0.05367,0.955,165.405,533.481
0.05375,0.955,165.405,532.26
0.05383,0.955,165.405,533.481
0.05391,0.955,165.405,532.26
0.05398,0.955,165.405,533.481
0.05406,0.955,165.405,532.26
0.05414,0.955,165.405,532.26
0.05422,0.955,164.795,532.26
0.0543,0.955,164.795,532.26
0.05438,0.955,164.795,532.26
0.05445,0.955,164.185,532.26
0.05453,0.955,163.574,532.26
