t,UAB(V),delta,UAB
0.31875,95.48,0.9548,0.95003
0.319375,95.479,0.95479,0.95002
0.32,95.477,0.95477,0.95
0.320625,95.477,0.95477,0.95
0.32125,95.476,0.95476,0.94999
0.321875,95.476,0.95476,0.94999
0.3225,95.476,0.95476,0.94999
0.323125,95.476,0.95476,0.94999
0.32375,95.478,0.95478,0.95001
0.324375,95.478,0.95478,0.95001
0.325,95.479,0.95479,0.95002
0.325625,95.479,0.95479,0.95002
0.32625,95.48,0.9548,0.95003
0.326875,95.481,0.95481,0.95004
0.3275,95.481,0.95481,0.95004
0.328125,95.481,0.95481,0.95004
0.32875,95.481,0.95481,0.95004
0.329375,95.48,0.9548,0.95003
0.33,95.479,0.95479,0.95002
0.330625,95.475,0.95475,0.94998
0.33125,95.472,0.95472,0.94995
0.331875,95.471,0.95471,0.94994
0.3325,95.469,0.95469,0.94992
0.333125,95.47,0.9547,0.94993
0.33375,95.471,0.95471,0.94994
0.334375,95.474,0.95474,0.94997
0.335,95.474,0.95474,0.94997
0.335625,95.476,0.95476,0.94999
0.33625,95.477,0.95477,0.95
0.336875,95.478,0.95478,0.95001
0.3375,95.479,0.95479,0.95002
0.338125,95.479,0.95479,0.95002
0.33875,95.478,0.95478,0.95001
0.339375,95.477,0.95477,0.95
0.34,95.478,0.95478,0.95001
0.340625,95.478,0.95478,0.95001
0.34125,95.477,0.95477,0.95
0.341875,95.476,0.95476,0.94999
0.3425,95.476,0.95476,0.94999
0.343125,95.477,0.95477,0.95
0.34375,95.475,0.95475,0.94998
0.344375,95.48,0.9548,0.95003
0.345,95.48,0.9548,0.95003
0.345625,95.483,0.95483,0.95006
0.34625,95.485,0.95485,0.95008
0.346875,95.486,0.95486,0.95009
0.3475,95.486,0.95486,0.95009
0.348125,95.486,0.95486,0.95009
0.34875,95.485,0.95485,0.95008
0.349375,95.484,0.95484,0.95007
0.35,95.482,0.95482,0.95005
0.350625,95.483,0.95483,0.95006
0.35125,95.481,0.95481,0.95004
0.351875,95.482,0.95482,0.95005
0.3525,95.482,0.95482,0.95005
0.353125,95.481,0.95481,0.95004
0.35375,95.481,0.95481,0.95004
0.354375,95.48,0.9548,0.95003
0.355,95.481,0.95481,0.95004
0.355625,95.481,0.95481,0.95004
0.35625,95.482,0.95482,0.95005
0.356875,95.483,0.95483,0.95006
0.3575,95.483,0.95483,0.95006
0.358125,95.483,0.95483,0.95006
0.35875,95.483,0.95483,0.95006
0.359375,95.483,0.95483,0.95006
0.36,95.481,0.95481,0.95004
0.360625,95.481,0.95481,0.95004
0.36125,95.478,0.95478,0.95001
0.361875,95.477,0.95477,0.95
0.3625,95.477,0.95477,0.95
0.363125,95.477,0.95477,0.95
0.36375,95.478,0.95478,0.95001
0.364375,95.479,0.95479,0.95002
0.365,95.479,0.95479,0.95002
0.365625,95.479,0.95479,0.95002
0.36625,95.48,0.9548,0.95003
0.366875,95.48,0.9548,0.95003
0.3675,95.48,0.9548,0.95003
0.368125,95.48,0.9548,0.95003
0.36875,95.479,0.95479,0.95002
0.369375,95.478,0.95478,0.95001
0.37,95.476,0.95476,0.94999
0.370625,95.475,0.95475,0.94998
0.37125,95.476,0.95476,0.94999
0.371875,95.474,0.95474,0.94997
0.3725,95.473,0.95473,0.94996
0.373125,95.473,0.95473,0.94996
0.37375,95.475,0.95475,0.94998
0.374375,95.477,0.95477,0.95
0.375,95.479,0.95479,0.95002
0.375625,95.481,0.95481,0.95004
0.37625,95.482,0.95482,0.95005
0.376875,95.483,0.95483,0.95006
0.3775,95.483,0.95483,0.95006
0.378125,95.483,0.95483,0.95006
0.37875,95.482,0.95482,0.95005
0.379375,95.479,0.95479,0.95002
0.38,95.477,0.95477,0.95
0.380625,95.475,0.95475,0.94998
0.38125,95.473,0.95473,0.94996
0.381875,95.473,0.95473,0.94996
0.3825,95.47,0.9547,0.94993
0.383125,95.469,0.95469,0.94992
0.38375,95.469,0.95469,0.94992
0.384375,95.468,0.95468,0.94991
0.385,95.468,0.95468,0.94991
0.385625,95.47,0.9547,0.94993
0.38625,95.471,0.95471,0.94994
0.386875,95.471,0.95471,0.94994
0.3875,95.471,0.95471,0.94994
0.388125,95.471,0.95471,0.94994
0.38875,95.471,0.95471,0.94994
0.389375,95.469,0.95469,0.94992
0.39,95.468,0.95468,0.94991
0.390625,95.468,0.95468,0.94991
0.39125,95.466,0.95466,0.94989
0.391875,95.464,0.95464,0.94987
0.3925,95.464,0.95464,0.94987
0.393125,95.464,0.95464,0.94987
0.39375,95.458,0.95458,0.94981
0.394375,95.458,0.95458,0.94981
0.395,95.457,0.95457,0.9498
0.395625,95.458,0.95458,0.94981
0.39625,95.458,0.95458,0.94981
0.396875,95.459,0.95459,0.94982
0.3975,95.46,0.9546,0.94983
0.398125,95.46,0.9546,0.94983
0.39875,95.459,0.95459,0.94982
0.399375,95.46,0.9546,0.94983
0.4,95.46,0.9546,0.94983
0.400625,95.456,0.95456,0.94979
0.40125,95.456,0.95456,0.94979
0.401875,95.454,0.95454,0.94977
0.4025,95.454,0.95454,0.94977
0.403125,95.456,0.95456,0.94979
0.40375,95.456,0.95456,0.94979
0.404375,95.456,0.95456,0.94979
0.405,95.458,0.95458,0.94981
0.405625,95.459,0.95459,0.94982
0.40625,95.459,0.95459,0.94982
0.406875,95.46,0.9546,0.94983
0.4075,95.461,0.95461,0.94984
0.408125,95.46,0.9546,0.94983
0.40875,95.459,0.95459,0.94982
0.409375,95.458,0.95458,0.94981
0.41,95.459,0.95459,0.94982
0.410625,95.457,0.95457,0.9498
0.41125,95.456,0.95456,0.94979
0.411875,95.455,0.95455,0.94978
0.4125,95.451,0.95451,0.94974
0.413125,95.451,0.95451,0.94974
0.41375,95.454,0.95454,0.94977
